1464 20 33
1465 19 34
1466 18 35
1467 17 36
1468 16 37
1469 15 38
1470 14 39
1471 13 40
1472 12 41
1473 11 42
1474 10 43
1475 9 44
1476 8 45
1477 7 46
1478 6 47
1479 5 48
1480 4 49
1481 3 50
1482 2 51
1483 1 52
1484 0 53
1485 54 0
1486 53 1
1487 52 2
1488 51 3
1489 50 4
1490 49 5
1491 48 6
1492 47 7
1493 46 8
1494 45 9
1495 44 10
1496 43 11
1497 42 12
1498 41 13
1499 40 14
1500 39 15
1501 38 16
1502 37 17
1503 36 18
1504 35 19
1505 34 20
1506 33 21
1507 32 22
1508 31 23
1509 30 24
1510 29 25
1511 28 26
1512 27 27
1513 26 28
1514 25 29
1515 24 30
1516 23 31
1517 22 32
1518 21 33
1519 20 34
1520 19 35
1521 18 36
1522 17 37
1523 16 38
1524 15 39
1525 14 40
1526 13 41
1527 12 42
1528 11 43
1529 10 44
1530 9 45
1531 8 46
1532 7 47
1533 6 48
1534 5 49
1535 4 50
1536 3 51
1537 2 52
1538 1 53
1539 0 54
1540 55 0
1541 54 1
1542 53 2
1543 52 3
1544 51 4
1545 50 5
1546 49 6
1547 48 7
1548 47 8
1549 46 9
1550 45 10
1551 44 11
1552 43 12
1553 42 13
1554 41 14
1555 40 15
1556 39 16
1557 38 17
1558 37 18
1559 36 19
1560 35 20
1561 34 21
1562 33 22
1563 32 23
1564 31 24
1565 30 25
1566 29 26
1567 28 27
1568 27 28
1569 26 29
1570 25 30
1571 24 31
1572 23 32
1573 22 33
1574 21 34
1575 20 35
1576 19 36
1577 18 37
1578 17 38
1579 16 39
1580 15 40
1581 14 41
1582 13 42
1583 12 43
1584 11 44
1585 10 45
1586 9 46
1587 8 47
1588 7 48
1589 6 49
1590 5 50
1591 4 51
1592 3 52
1593 2 53
1594 1 54
1595 0 55
1596 56 0
1597 55 1
1598 54 2
1599 53 3
1600 52 4
1601 51 5
1602 50 6
1603 49 7
1604 48 8
1605 47 9
1606 46 10
1607 45 11
1608 44 12
1609 43 13
1610 42 14
1611 41 15
1612 40 16
1613 39 17
1614 38 18
1615 37 19
1616 36 20
1617 35 21
1618 34 22
1619 33 23
1620 32 24
1621 31 25
1622 30 26
1623 29 27
1624 28 28
1625 27 29
1626 26 30
1627 25 31
1628 24 32
1629 23 33
1630 22 34
1631 21 35
1632 20 36
1633 19 37
1634 18 38
1635 17 39
1636 16 40
1637 15 41
1638 14 42
1639 13 43
1640 12 44
1641 11 45
1642 10 46
1643 9 47
1644 8 48
1645 7 49
1646 6 50
1647 5 51
1648 4 52
1649 3 53
1650 2 54
1651 1 55
1652 0 56
1653 57 0
1654 56 1
1655 55 2
1656 54 3
1657 53 4
1658 52 5
1659 51 6
1660 50 7
1661 49 8
1662 48 9
1663 47 10
1664 46 11
1665 45 12
1666 44 13
1667 43 14
1668 42 15
1669 41 16
1670 40 17
1671 39 18
1672 38 19
1673 37 20
1674 36 21
1675 35 22
1676 34 23
1677 33 24
1678 32 25
1679 31 26
1680 30 27
1681 29 28
1682 28 29
1683 27 30
1684 26 31
1685 25 32
1686 24 33
1687 23 34
1688 22 35
1689 21 36
1690 20 37
1691 19 38
1692 18 39
1693 17 40
1694 16 41
1695 15 42
1696 14 43
1697 13 44
1698 12 45
1699 11 46
1700 10 47
1701 9 48
1702 8 49
1703 7 50
1704 6 51
1705 5 52
1706 4 53
1707 3 54
1708 2 55
1709 1 56
1710 0 57
1711 58 0
1712 57 1
1713 56 2
1714 55 3
1715 54 4
1716 53 5
1717 52 6
1718 51 7
1719 50 8
1720 49 9
1721 48 10
1722 47 11
1723 46 12
1724 45 13
1725 44 14
1726 43 15
1727 42 16
1728 41 17
1729 40 18
1730 39 19
1731 38 20
1732 37 21
1733 36 22
1734 35 23
1735 34 24
1736 33 25
1737 32 26
1738 31 27
1739 30 28
1740 29 29
1741 28 30
1742 27 31
1743 26 32
1744 25 33
1745 24 34
1746 23 35
1747 22 36
1748 21 37
1749 20 38
1750 19 39
1751 18 40
1752 17 41
1753 16 42
1754 15 43
1755 14 44
1756 13 45
1757 12 46
1758 11 47
1759 10 48
1760 9 49
1761 8 50
1762 7 51
1763 6 52
1764 5 53
1765 4 54
1766 3 55
1767 2 56
1768 1 57
1769 0 58
1770 59 0
1771 58 1
1772 57 2
1773 56 3
1774 55 4
1775 54 5
1776 53 6
1777 52 7
1778 51 8
1779 50 9
1780 49 10
1781 48 11
1782 47 12
1783 46 13
1784 45 14
1785 44 15
1786 43 16
1787 42 17
1788 41 18
1789 40 19
1790 39 20
1791 38 21
1792 37 22
1793 36 23
1794 35 24
1795 34 25
1796 33 26
1797 32 27
1798 31 28
1799 30 29
1800 29 30
1801 28 31
1802 27 32
1803 26 33
1804 25 34
1805 24 35
1806 23 36
1807 22 37
1808 21 38
1809 20 39
1810 19 40
1811 18 41
1812 17 42
1813 16 43
1814 15 44
1815 14 45
1816 13 46
1817 12 47
1818 11 48
1819 10 49
1820 9 50
1821 8 51
1822 7 52
1823 6 53
1824 5 54
1825 4 55
1826 3 56
1827 2 57
1828 1 58
1829 0 59
1830 60 0
1831 59 1
1832 58 2
1833 57 3
1834 56 4
1835 55 5
1836 54 6
1837 53 7
1838 52 8
1839 51 9
1840 50 10
1841 49 11
1842 48 12
1843 47 13
1844 46 14
1845 45 15
1846 44 16
1847 43 17
1848 42 18
1849 41 19
1850 40 20
1851 39 21
1852 38 22
1853 37 23
1854 36 24
1855 35 25
1856 34 26
1857 33 27
1858 32 28
1859 31 29
1860 30 30
1861 29 31
1862 28 32
1863 27 33
1864 26 34
1865 25 35
1866 24 36
1867 23 37
1868 22 38
1869 21 39
1870 20 40
1871 19 41
1872 18 42
1873 17 43
1874 16 44
1875 15 45
1876 14 46
1877 13 47
1878 12 48
1879 11 49
1880 10 50
1881 9 51
1882 8 52
1883 7 53
1884 6 54
1885 5 55
1886 4 56
1887 3 57
1888 2 58
1889 1 59
1890 0 60
1891 61 0
1892 60 1
1893 59 2
1894 58 3
1895 57 4
1896 56 5
1897 55 6
1898 54 7
1899 53 8
1900 52 9
1901 51 10
1902 50 11
1903 49 12
1904 48 13
1905 47 14
1906 46 15
1907 45 16
1908 44 17
1909 43 18
1910 42 19
1911 41 20
1912 40 21
1913 39 22
1914 38 23
1915 37 24
1916 36 25
1917 35 26
1918 34 27
1919 33 28
1920 32 29
1921 31 30
1922 30 31
1923 29 32
1924 28 33
1925 27 34
1926 26 35
1927 25 36
1928 24 37
1929 23 38
1930 22 39
1931 21 40
1932 20 41
1933 19 42
1934 18 43
1935 17 44
1936 16 45
1937 15 46
1938 14 47
1939 13 48
1940 12 49
1941 11 50
1942 10 51
1943 9 52
1944 8 53
1945 7 54
1946 6 55
1947 5 56
1948 4 57
1949 3 58
1950 2 59
1951 1 60
1952 0 61
1953 62 0
1954 61 1
1955 60 2
1956 59 3
1957 58 4
1958 57 5
1959 56 6
1960 55 7
1961 54 8
1962 53 9
1963 52 10
1964 51 11
1965 50 12
1966 49 13
1967 48 14
1968 47 15
1969 46 16
1970 45 17
